VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	ENABLE_FLAG	NEW_WORLD
14013	FACILITY	jedan	Оружейная фабрика	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1	0
14014	FACILITY	jedan	Фабрика брони	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1	0
14015	FACILITY	jedan	Фабрика снаряжения	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1	0
14033	FACILITY	suryeonjang	Тренировочный центр	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2	0
14043	FACILITY	yonggwangro	Обработка алмазов	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1	0
14045	FACILITY	yonggwangro	Обраб. камен. дерева	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1	0
14046	FACILITY	yonggwangro	Обработка меди	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1	0
14047	FACILITY	yonggwangro	Обработка серебра	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1	0
14048	FACILITY	yonggwangro	Обработка золота	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1	0
14049	FACILITY	yonggwangro	Обработка нефрита	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1	0
14050	FACILITY	yonggwangro	Обработка эбонита	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1	0
14051	FACILITY	yonggwangro	Обработка жемчуга	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1	0
14052	FACILITY	yonggwangro	Обработка платины	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1	0
14053	FACILITY	yonggwangro	Обработка хрусталя	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1	0
14054	FACILITY	yonggwangro	Обработка аметиста	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1	0
14055	FACILITY	yonggwangro	Обработка неб. слёз	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1	0
14061	FACILITY	himuijedan_01	Алтарь Мощи	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1	0
14062	FACILITY	himuijedan_02	Алтарь Мощи	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2	0
14063	FACILITY	himuijedan_03	Алтарь Мощи	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2	0
