ACCE_ABSORB_COST	Стоимость сочетания: %d
ACCE_ALREADY_REGISTER	Этот предмет уже используется.
ACCE_DEL_ABSORDITEM	Поглотить предмет и этим его уничтожить?
ACCE_DEL_SERVEITEM	Шарф 2 будет уничтожен если комбинирование не удастся.
ACCE_DEL_SERVEITEM2	Шарф 2 будет уничтожен если комбинирование не удастся.
ACCE_INITEM	Переместите предмет в это окно.
ACCE_MAXGRADE	Это уже индивидуального пошива.
ACCE_MAX_DRAINRATE	Макс. доля поглощения
ACCE_NOTABSORBITEM	Если оружие или броня уже использовались в процессе поглощения, то их больше невозможно применить в данной процедуре.
ACCE_NOT_SEALITEM	Предмет зачарованный оковами души невозможно использовать.
ACCE_NOT_USINGITEM	Снаряженный предмет невозможно использовать в процессе комбинирования.
ACCE_NOT_WINDOWOPEN	Вы не может использовать этот предмет если окно комбинирования открыто.
ACCE_POSSIBLE_ACCE	Использовать можно лишь шарфы.
ACCE_POSSIBLE_ACCEITEM	Извлечь бонусы можно только из оружия или брони.
AFF_LOVE_POINT	Очки любви: %d%%
ALIGNMENT_NAME	Ранг:
alsoExportToCharset	windows-1251
ATTACK_ERROR_UNKNOWN	Неизвестная ошибка атаки: %s
ATTENDANCE_REWARD_QUESTION	Хотите получить награду сейчас?
ATTR_6TH_7TH_ADD_QUESTION1	Вы не можете использовать предмет, пока добавляется бонус.
ATTR_6TH_7TH_ADD_QUESTION2	Вы точно хотите добавить бонус?
ATTR_6TH_7TH_CHANGE_FAIL	Вы не можете изменить бонус.
ATTR_6TH_7TH_DESC1	а. Вам нужно добавить материалы, необходимые для предмета, чтобы добавить 6-й или 7-й бонус.
ATTR_6TH_7TH_DESC2	б. Каждый фрагмент повышает вероятность успеха на 2%.
ATTR_6TH_7TH_DESC3	в. Примените дополнение, чтобы еще больше повысить вероятность успеха.
ATTR_6TH_7TH_DESC4	г. Добавление бонуса занимает 24 часа. NPC забирает себе предмет, к которому добавляется бонус. Когда процесс завершается, вы можете вновь забрать предмет.
ATTR_6TH_7TH_POSSIBILITY	Вы можете добавить дополнительный бонус.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Вероятность успеха: %.1f%%
AURA_DRAIN_PER	Доля поглощения %.1f%%
AURA_EVOLUTION_GOLD	[Аура] Недостаточно янг, чтобы развить.
AURA_IMPOSSIBLE_ABSORBITEM	[Аура] Больше бонусов перенести нельзя.
AURA_IMPOSSIBLE_EQUIPITEM	[Аура] Надетые и выбранные предметы нельзя переносить.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Аура] Нельзя развить.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Аура] Не хватает предметов для развития.
AURA_IMPOSSIBLE_GROWTHITEM	[Аура] Нельзя улучшить.
AURA_IMPOSSIBLE_REFINEITEM	[Аура] Только одеяние ауры, щит, ожерелье, серьги или браслет.
AURA_IMPOSSIBLE_SEALITEM	[Аура] Зачарованные оковами души предметы нельзя переносить.
AURA_ITEM_NEED_REGISTER	[Аура] Нужно добавить предметы.
AURA_LEVEL_STEP	Ур. %d (ступень %d)
AURA_MAX_LEVEL	[Аура] У одеяния ауры максимальный уровень.
AURA_NOTICE_DEL_ABSORDITEM	[Аура] Переносимый предмет уничтожается.
AURA_OPEN_OTHER_WINDOW	Это нельзя сделать, пока открыто окно улучшения, развития или передачи параметров.
AURA_POSSIBLE_AURAITEM	[Аура] Только одеяние ауры.
AURA_POSSIBLE_REGISTER_AURAITEM	[Аура] Сначала нужно добавить одеяние ауры.
AURA_TITLE_ABSORB	Перенести параметры на одеяние ауры
AURA_TITLE_EVOLUTION	Развить одеяние ауры
AURA_TITLE_GROWTH	Улучшить одеяние ауры
AURA_TOOLTIP_EXP	Опыт (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	Ур. %d (ступень %d) (доля поглощения %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s янг
AURA_TOOLTIP_NEXT	Нов.
AURA_TOOLTIP_NOW	Текущ.
AURA_TOOLTIP_RESOURCE	Расходный предмет
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	Сбросить
AUTO_TOOLTIP_LINE1	Навыки: выберите навыки для боя и перетащите их в ячейки. (Премиум)
AUTO_TOOLTIP_LINE2	Примечание: для некоторых навыков можно изменять интервал срабатывания (в секундах).
AUTO_TOOLTIP_LINE3	Зелья: выберите зелья для боя и перетащите их в ячейки. (Премиум)
AUTO_TOOLTIP_LINE4	Примечание: ХП- и МП-зелья срабатывают, когда значения ХП или МП в процентах становятся ниже, чем указанные под зельем.
AUTO_TOOLTIP_LINE5	Внимание: автоматическое использование навыков, зелий и оживления можно включить в магазине.
AUTO_TOOLTIP_TITLE	Помощь при автоохоте
BATTLE_POINT	Очки боя
BATTLE_ROYALE_ALIVE_COUNT	В живых: %d
BATTLE_ROYALE_APPLICATION_TITLE	Королевская битва
BATTLE_ROYALE_CANNOT_OPEN_MALL	Это нельзя здесь открывать.
BATTLE_ROYALE_KILL_COUNT	Убито врагов: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Участвовать
BATTLE_ROYALE_MAINBUTTON_CANCEL	Прервать
BATTLE_ROYALE_MAINBUTTON_EXIT	Выйти
BATTLE_ROYALE_MAINBUTTON_STARTABLE	Начать
BATTLE_ROYALE_NOTIFY_APPLICATED	Вы заявились на Королевскую битву. Вы сможете присоединиться, когда соберется достаточно участников.
