ACCEPT	ОК
ACCE_ABSORB	Поглощение бонусов
ACCE_COMBINE	Комбинирование
ACCE_MAIN	Шарф 1
ACCE_RESULT	Результат
ACCE_SERVE	Шарф 2
alsoExportToCharset	windows-1251
ATTACH_METIN_INFO	Вы хотите использовать Камень духа?
ATTACH_METIN_TITLE	Использовать Камень духа
ATTENDANCE_TITLE	Событие «Охотники на боссов»
ATTR_67_ADD	Добавить бонус
ATTR_67_ADD_TITLE	Добавить бонус
ATTR_67_MATERIAL_SLOT_TITLE	Фрагменты
ATTR_67_REGIST_SLOT_TITLE	Целевой предмет
ATTR_67_SUPPORT_SLOT_TITLE	Дополнение
AURA_MAIN	Одеяние ауры
AURA_SUB	Материал
AUTO_AUTO_ATTACK	Атаковать
AUTO_AUTO_POSITION	Зелья
AUTO_AUTO_POTION	Зелья
AUTO_AUTO_RANGE	Фокус
AUTO_AUTO_RESTART	Оживление
AUTO_AUTO_SKILL	Навыки
AUTO_CLEAR	Очистить
AUTO_END	Остановить
AUTO_OFF	Выкл.
AUTO_ON	Вкл.
AUTO_POSITION_SETTING	Зелья
AUTO_POTION_SETTING	Зелья
AUTO_SAVE	Сохранить
AUTO_SETTING	Настройки
AUTO_SKILL_SETTING	Навыки
AUTO_START	Приступить
AUTO_TITLE	Автоохота
BANNER_ATTENDANCE_BUTTON	Событие «Охотники на боссов»
BANNER_BATTLE_ROYALE_BUTTON	Королевская битва
BANNER_BLACK_AND_WHITE_BUTTON	Состязание провидцев
BANNER_CATCHKING_BUTTON	«Хватай короля»
BANNER_EASTER_BUTTON	ПАСХА
BANNER_FISH_BUTTON	РЫБАЛКА-ГОЛОВОЛОМКА
BANNER_FLOWER_BUTTON	ДЕТИ ЦВЕТОВ
BANNER_FOOTBALL_BUTTON	ФУТБОЛ
BANNER_GOLDEN_LAND_BUTTON	Золотая земля
BANNER_HALLOWEEN_BUTTON	ХЭЛЛОУИН
BANNER_LUCKY_EVENT	ТРАВЛЯ МОНСТРОВ
BANNER_METINSTONE_RAIN_EVENT_BUTTON	Метиновая лихорадка
BANNER_MINIBOSS_BUTTON	Зодиак-апокалипсис
BANNER_MONSTERBACK_BUTTON	Засчитать удары
BANNER_MYSTERY_BOX_BUTTON	СОБЫТИЕ С ДОБЫЧЕЙ I
BANNER_MYSTERY_BOX_BUTTON_2	СОБЫТИЕ С ДОБЫЧЕЙ II
BANNER_NEW_XMAS_BUTTON	РОЖДЕСТВО
BANNER_OKEY_BUTTON	Окей эвент
BANNER_OLYMPIC_BUTTON	СОБЫТИЕ ДЛЯ ГЕРОЕВ
BANNER_OTHER_WORLD_BUTTON	Путешествие на тот свет
BANNER_RAMADAN_BUTTON	РАМАДАН
BANNER_ROULETTE_BUTTON	Ритуал крови
BANNER_SNOWFLAKE_STICK_EVENT_BUTTON	Событие «Снежинки»
BANNER_SOUL_BUTTON	СОБЫТИЕ С ДУШАМИ
BANNER_SPORTS_MATCH_BUTTON	Событие к чемпионату
BANNER_SUMMER_BUTTON	ЛЕТНЕЕ СОБЫТИЕ
BANNER_VALENTINE_BUTTON	ДЕНЬ СВ. ВАЛЕНТИНА
BANNER_WORLD_BOSS_BUTTON	Мировой босс
BANNER_YUTNORI_BUTTON	Ютнори
BATTLE_FIELD_INFO	Поле боя
BATTLE_FIELD_OPERATION_TIME	Войти на поле боя можно с %s:00 до %s:00.
BATTLE_FIELD_OPERATION_TIME_ALL	Вход разрешен в любое время.
BATTLE_FIELD_OPERATION_TIME_END	Поле боя будет открыто еще %s ч.
BATTLE_FIELD_OPERATION_TIME_NA	Сейчас войти нельзя.
BATTLE_FIELD_OPERATION_TIME_OPEN	Войти можно будет через %s ч. на %s ч.
BATTLE_FILED_RANK	Ранг
BATTLE_FILED_RANK_EMPIRE	Империя
BATTLE_FILED_RANK_NAME	Название
BATTLE_FILED_RANK_POINT	Очки
BATTLE_ROYALE_APPLICATION_TITLE	Королевская битва
BATTLE_ROYALE_MAINBUTTON_APPLICATION	Участвовать
BATTLE_ROYALE_MAINBUTTON_RANKING	Рейтинг
BATTLE_ROYALE_RETURN_TO_TOWN	Вернуться в деревню
BELT_INVENTORY_TITLE	Поясной инвентарь
BNW_GAME_UI_COM	Враг
BNW_RANK_UI_COUNT	Число взносов
BNW_RANK_UI_NAME	Имя
BNW_RANK_UI_RANK	Ранг
CANCEL	Отмена
CHANGE_ATTR_SELECT	Сменить бонус
CHANGE_PASSWORD_CONFIRM	Повторите пароль
CHANGE_PASSWORD_NEW	Новый пароль
CHANGE_PASSWORD_OLD	Старый пароль
CHANGE_PASSWORD_TITLE	Смена пароля
CHARACTER_ACTION	Эмоции
CHARACTER_EMOTICON	Эмоция
CHARACTER_MAIN	Персонаж
CHARACTER_MUTUAL_ACTION	Интерактивные эмоции
CHARACTER_NORMAL_ACTION	Стандартные эмоции
CHARACTER_QUEST	Миссии
CHARACTER_SKILL	Навыки
CHARACTER_SPECTIAL_ACTION	Особые действия
CHATTING_SETTING_CANCLE	Отменить
CHATTING_SETTING_CLEAR	Сбросить
CHATTING_SETTING_DEFAULT_TITLE	Общее
CHATTING_SETTING_DETAIL	Настройки системы
CHATTING_SETTING_DICE	Кубик
CHATTING_SETTING_DICE_SETTING	Настройки кубика
CHATTING_SETTING_EXP	Опыт
CHATTING_SETTING_GOLD	Валюта
CHATTING_SETTING_GUILD	Гильдия
CHATTING_SETTING_ITEM	Предметы
